"beta" "gamma"
"348" 3.47594602033496 1.77268473082222
"349" 2.49208899680525 0.771114774979651
"350" 2.31770837213844 1.24879265320487
"351" 1.78487049881369 0.721750610973686
"352" 3.32535167224705 1.23891251161695
"353" 3.02506359061226 2.41605990100652
"354" 1.05087347794324 0.955603638431057
"355" 2.87637443514541 2.25232725148089
"356" 4.04877942055464 2.1808388561476
"357" 3.69255398865789 2.33779357746243
"358" 4.32848043041304 2.20931564224884
"359" 6.36435144115239 2.63309707399458
"360" 2.79160340549424 1.03483630926348
"361" 1.69938193401322 1.36129608261399
"362" 1.51603993959725 1.2362011265941
"363" 2.88083482068032 2.40068583982065
"364" 1.97804528754205 1.28632219624706
"365" 2.80087979510427 2.33750458457507
"366" 2.48761027585715 1.95024772896431
"367" 3.19847136968747 1.06214433326386
"368" 1.46876167040318 0.546328340424225
"369" 2.82815409358591 2.15885872137733
"370" 1.57792011741549 1.15400128997862
"371" 3.5947235301137 2.49316029134206
"372" 1.83822016464546 1.60994837526232
"373" 4.25864993361756 2.24528824677691
"374" 1.76091426284984 2.71796939428896
"375" 1.75397417740896 0.899713519029319
"376" 2.28201081277803 0.84401648491621
"377" 2.97003299929202 1.77085230941884
"378" 3.12436184845865 1.44997424329631
"379" 2.10134509019554 1.57462260685861
"380" 2.07590946694836 1.28382902126759
"381" 3.30155868781731 2.03105262597091
"382" 3.04648163029924 1.77170486887917
"383" 0.984446138609201 0.626976292114705
"384" 2.68936638953164 1.40754924621433
"385" 0.924987164326012 0.609040528070182
"386" 4.22283699735999 1.39685525209643
"387" 1.14551616366953 1.28956196596846
"388" 2.26232026936486 0.957396919839084
"389" 2.80880369246006 0.817369926953688
"390" 1.113917210605 1.35015247156844
"391" 1.2204681057483 1.61363105522469
"392" 1.67567692697048 0.781820042757317
"393" 1.94721651263535 2.11791458190419
"394" 1.94679470267147 0.822423230856657
"395" 3.63347264472395 2.91027293424122
"396" 2.53804554697126 1.56835454748943
"397" 2.2427917085588 1.30379275884479
"398" 3.4218289447017 0.868321169400588
"399" 2.02005710918456 0.899959534872323
"400" 2.9002274107188 1.24734740587883
"401" 2.10899936035275 1.41305367345922
"402" 4.15119376266375 2.52289610216394
"403" 2.49097681837156 1.75618946435861
"404" 0.998821696266532 1.06014601886272
"405" 1.64069195976481 1.00550586474128
"406" 1.82230900041759 1.8604426481761
"407" 2.06479684915394 1.23072283226065
"408" 3.71462938841432 2.99945740611292
"409" 5.25196496862918 3.42122813221067
"410" 0.744155633728951 0.948874820023775
"411" 1.4114177483134 0.443045482970774
"412" 1.82039794279262 1.48272299207747
"413" 1.44039504462853 1.96648462791927
"414" 3.0313859321177 1.40550106414594
"415" 0.915175233967602 1.04617252247408
"416" 3.14032676629722 1.97819880559109
"417" 1.08829225646332 2.86841037101112
"418" 1.9657967868261 1.91935242386535
"419" 1.449681725353 0.985644219908863
"420" 1.03562956210226 1.3846832094714
"421" 0.88751953560859 0.760267897276208
"422" 3.7263122596778 1.25946885789745
"423" 3.14108206424862 1.96497224038467
"424" 2.58025593357161 2.06050290260464
"425" 2.60535588953644 1.41999396844767
"426" 2.99806015333161 1.05378547101282
"427" 2.9383844928816 1.10888084280305
"428" 1.75763526465744 1.55950792483054
"429" 4.60391817847267 3.14773153630085
"430" 1.30516171921045 1.91344771068543
"431" 1.23431851156056 0.679252404952422
"432" 2.37657393096015 1.27665631705895
"433" 3.18196644308046 1.73045824863948
"434" 2.87005728110671 2.01545248855837
"435" 2.72546285763383 1.25537132262252
"436" 3.19763909094036 1.45938472240232
"437" 2.06128361867741 1.32332140463404
"438" 1.37802898185328 1.56441607512534
"439" 3.6471060058102 1.49871380417608
"440" 3.45336970640346 2.26060156826861
"441" 1.45561372628435 0.869971169158816
"442" 1.47927619051188 2.00506562367082
"443" 1.74962277291343 1.06987060629763
"444" 1.54777698451653 2.22909245174378
"445" 1.93699276773259 0.998537138802931
"446" 2.22658445360139 0.860762347001582
"447" 1.94702551467344 0.906611067475751
"448" 1.58812828827649 1.16862273192964
"449" 1.5053550247103 1.00629910477437
"450" 2.11292868247256 1.30012248875573
"451" 3.31214279867709 2.30813244008459
"452" 2.58619615808129 1.21814345475286
"453" 2.36093014245853 1.2867773079779
"454" 1.22987541370094 1.34106602636166
"455" 1.63258229382336 1.04596889461391
"456" 2.54247687524185 1.07320871204138
"457" 2.68398016458377 1.24519136617891
"458" 0.713281822390854 0.752657160628587
"459" 3.53067180607468 1.53529207105748
"460" 2.23078547278419 0.838849220890552
"461" 1.42209807410836 0.742713370127603
"462" 3.36525790393353 1.65698741329834
"463" 1.94074257975444 1.22163851629011
"464" 4.07249852782115 1.6474677703809
"465" 1.62209215341136 1.69255303335376
"466" 1.37497092597187 1.24462109990418
"467" 2.71218428388238 1.5398013626691
"468" 1.76921535050496 1.70006427448243
"469" 3.82338311290368 2.36781124141999
"470" 2.79102289816365 1.73588702687994
"471" 2.40103738382459 1.45958234556019
"472" 1.89786979928613 1.22945025097579
"473" 7.74693863699213 2.72178022307344
"474" 2.89031317224726 0.634183740476146
"475" 1.2614501430653 1.35430412483402
"476" 1.84682451188564 2.36867472995073
"477" 3.14459975808859 2.30960466549732
"478" 1.53766101924703 1.09465776360594
"479" 1.77917696768418 1.40313113108277
"480" 3.18212260259315 1.27871301490813
"481" 2.09759824443609 2.26042480673641
"482" 2.95849516289309 1.42425011959858
"483" 1.10127225285396 2.34769459930249
"484" 2.04248997149989 0.837469745893031
"485" 1.58910308033228 1.83870177948847
"486" 3.8075610017404 2.68259004224092
"487" 4.34316130355 1.52888360549696
"488" 2.41633525118232 1.80001332424581
"489" 2.7009515510872 1.93290801835246
"490" 1.5827652066946 1.46420316770673
"491" 1.09812084818259 1.63616137462668
"492" 1.23888269066811 1.77094239741564
"493" 2.68274063011631 1.74150639097206
"494" 2.46422164840624 0.646878350526094
"495" 0.680777123197913 0.852980859344825
"496" 3.16577245248482 1.82546801050194
"497" 0.96303601982072 0.703778407769278
"498" 3.94926970358938 1.17743565584533
"499" 3.16430886508897 1.48736938252114
"500" 2.4595075356774 2.14492243365385
"501" 1.67871067998931 0.709891789592803
"502" 1.07765313470736 1.01403742446564
"503" 2.44303494226187 1.06510202982463
"504" 3.15956400474533 1.19288032175973
"505" 1.69676233781502 0.757717757951468
"506" 2.04700593836606 1.62884762627073
"507" 1.58236751332879 1.43083960749209
"508" 4.17731667170301 2.56022218731232
"509" 0.807949500158429 0.656344410963356
"510" 2.65250805998221 1.05153855984099
"511" 1.86830173246562 1.81601953459904
"512" 3.66353431483731 2.31378344353288
"513" 1.08378594275564 1.17902635247447
"514" 1.81202484993264 1.80129534564912
"515" 2.08942802622914 0.778094329871237
"516" 2.69274519057944 0.894442659337074
"517" 1.66324113262817 1.0371606296394
"518" 2.43583460105583 2.51787215704098
"519" 2.02438790583983 3.05913941934705
"520" 1.52019923785701 0.862208552425727
"521" 1.65602887514979 0.561425921041518
"522" 1.68109732214361 0.621818067738786
"523" 1.83655811008066 0.797619438963011
"524" 1.32024426246062 0.965631436556578
"525" 2.2189283859916 0.391522555146366
"526" 2.40436244755983 1.38151601306163
"527" 2.03838015208021 1.03253917419352
"528" 1.40910261543468 1.92559571820311
"529" 2.91413383092731 1.86078519676812
"530" 2.11138179525733 1.88952529220842
"531" 1.1882163095288 1.05216166237369
"532" 2.08817261038348 2.16875530430116
"533" 2.41265838500112 1.22509800363332
"534" 1.54857293935493 1.9464592798613
"535" 3.07800527662039 2.04243579530157
"536" 2.055482075084 1.08546980540268
"537" 3.40829632012174 2.0380426524207
"538" 1.33690105052665 1.3739959790837
"539" 2.32025068486109 1.27557127969339
"540" 2.21724401460961 1.72774059814401
"541" 1.188795408234 1.24486859655008
"542" 1.14579325774685 1.14546935190447
"543" 1.21531132841483 1.63096894160844
"544" 1.97824141476303 0.864889521617442
"545" 1.29248929908499 0.953564695082605
"546" 2.51915879081935 1.56740493141115
"547" 1.94636634783819 0.811219573952258
"548" 2.35714779002592 1.17211068514735
"549" 2.15754352044314 0.85799120250158
"550" 1.25756788766012 0.629204716533422
"551" 2.31283043278381 1.33144184597768
"552" 1.53981734765694 1.34284397470765
"553" 2.90717316325754 2.13375061866827
"554" 3.01449433667585 2.56214772234671
"555" 0.931872972287238 0.813699184218422
"556" 5.0993230403401 2.06108254031278
"557" 2.80641177203506 1.37179367011413
"558" 1.38951336732134 1.30707742529921
"559" 2.46444229735062 1.56879989430308
"560" 2.56722551770508 1.73580620903522
"561" 1.23177130939439 1.1447880230844
"562" 1.64637669920921 0.690678847022355
"563" 1.31310368189588 0.707906080642715
"564" 1.00097396178171 1.01574243512005
"565" 0.940719868522137 1.3537556945812
"566" 1.2270329403691 2.09545122459531
